hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,debris,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),(fp_entry-fn_entry+fp_exit-fn_exit),non_block,shadow check,debris check
15,54000,45377,45377,39580,0,0,34929,10448,0,0,0,0,0,0,100,0,1897881,989753,989753,989753,988678,1067,988678,8,0,0,0,8.08282e-06,0,99.9992,0,862751,830062,830062,0,0,830062,32689,0,0,0,0,0,0,0,0,100,0,4.2891e-06,0,99.9996,0,158616,158624,8,0,158624,0,2.90296e+07,158616,0,1
16,57600,50634,50634,44208,0,0,39371,11263,0,0,0,0,0,0,100,0,1992866,1036296,1036296,1036296,1035127,1159,1035127,10,0,0,0,9.64975e-06,0,99.999,0,905936,869515,869515,0,0,869515,36421,0,0,0,0,0,0,0,0,100,0,5.11131e-06,0,99.9995,0,165612,165622,10,0,165622,0,3.03397e+07,165612,0,1
17,61200,56018,56018,48845,0,0,43865,12153,0,0,0,0,0,0,100,0,2084655,1081000,1081000,1081000,1079672,1315,1079671,13,1,1,0,1.20259e-05,9.25069e-07,99.9988,9.25069e-05,947637,907291,907291,0,0,907291,40346,0,0,0,0,1,0,0,0,100,0,6.35912e-06,4.89163e-07,99.9994,8.79494e-05,172381,172393,12,0,172393,0,3.15896e+07,172381,0,1
18,64800,61201,61201,53447,0,0,48147,13054,0,0,0,0,0,0,100,0,2179733,1127670,1127670,1127670,1126200,1455,1126199,15,1,1,0,1.33018e-05,8.86784e-07,99.9987,8.86784e-05,990862,946844,946844,0,0,946844,44018,0,0,0,0,1,0,0,0,100,0,7.02341e-06,4.68227e-07,99.9993,8.41134e-05,179356,179370,14,0,179370,0,3.28454e+07,179356,0,1
19,68400,66648,66648,58257,0,0,52299,14349,0,0,0,0,0,0,100,0,2281964,1177937,1177937,1177937,1176338,1580,1176337,19,1,1,0,1.61299e-05,8.48942e-07,99.9984,8.48942e-05,1037379,989502,989502,0,0,989502,47877,0,0,0,0,1,0,0,0,100,0,8.50459e-06,4.4761e-07,99.9991,8.03481e-05,186836,186854,18,0,186854,0,3.42483e+07,186836,0,1
20,72000,70697,70697,61871,0,0,55605,15092,0,0,0,0,0,0,100,0,2371853,1222945,1222945,1222945,1221224,1698,1221223,23,1,1,0,1.88071e-05,8.17698e-07,99.9981,8.17698e-05,1078211,1027416,1027416,0,0,1027416,50795,0,0,0,0,1,0,0,0,100,0,9.90927e-06,4.30838e-07,99.999,7.73011e-05,193808,193830,22,0,193830,0,3.54434e+07,193808,0,1
21,75600,76020,76020,66403,0,0,58747,17273,0,0,0,0,0,0,100,0,2470657,1271499,1271499,1271499,1269576,1895,1269574,28,2,2,0,2.20213e-05,1.57295e-06,99.9978,0.000157295,1123138,1068397,1068397,0,0,1068397,54741,0,0,0,0,2,0,0,0,100,0,1.15898e-05,8.27843e-07,99.9988,0.000148421,201179,201205,26,0,201205,0,3.675e+07,201179,0,1
22,79200,79079,79079,69186,0,0,61123,17956,0,0,0,0,0,0,100,0,2553340,1313521,1313521,1313521,1311395,2094,1311393,32,2,2,0,2.4362e-05,1.52263e-06,99.9976,0.000152263,1160740,1103832,1103832,0,0,1103832,56908,0,0,0,0,2,0,0,0,100,0,1.28183e-05,8.01143e-07,99.9987,0.000143616,207563,207593,30,0,207593,0,3.79611e+07,207563,0,1
23,82800,81371,81371,71248,0,0,62287,19084,0,0,0,0,0,0,100,0,2635311,1355925,1355925,1355925,1353606,2281,1353603,38,3,3,0,2.80251e-05,2.21251e-06,99.9972,0.000221251,1198015,1139478,1139478,0,0,1139478,58537,0,0,0,0,3,0,0,0,100,0,1.47471e-05,1.16425e-06,99.9985,0.000208725,214128,214163,35,0,214163,0,3.92683e+07,214128,0,1
24,86400,89800,89800,79347,0,0,63400,26400,0,0,0,0,0,0,100,0,2736580,1402781,1402781,1402781,1400344,2387,1400341,50,3,3,0,3.56435e-05,2.13861e-06,99.9964,0.000213861,1243999,1178739,1178739,0,0,1178739,65260,0,0,0,0,3,0,0,0,100,0,1.87173e-05,1.12304e-06,99.9981,0.000200994,221605,221652,47,0,221652,0,4.06168e+07,221605,0,1
25,90000,92427,92427,81785,0,0,64749,27678,0,0,0,0,0,0,100,0,2827503,1449674,1449674,1449674,1447069,2544,1447066,61,3,3,0,4.20784e-05,2.06943e-06,99.9958,0.000206943,1285402,1218243,1218243,0,0,1218243,67159,0,0,0,0,3,0,0,0,100,0,2.20987e-05,1.08682e-06,99.9978,0.00019454,228826,228884,58,0,228884,0,4.19648e+07,228826,0,1
26,93600,95584,95584,84661,0,0,66330,29254,0,0,0,0,0,0,100,0,2921813,1497905,1497905,1497905,1495094,2735,1495091,76,3,3,0,5.07375e-05,2.0028e-06,99.9949,0.00020028,1328324,1258862,1258862,0,0,1258862,69462,0,0,0,0,3,0,0,0,100,0,2.66447e-05,1.05176e-06,99.9973,0.000188266,236232,236305,73,0,236305,0,4.33573e+07,236232,0,1
27,97200,99862,99862,88452,0,0,68673,31189,0,0,0,0,0,0,100,0,3011803,1542822,1542822,1542822,1539883,2848,1539880,91,3,3,0,5.89828e-05,1.94449e-06,99.9941,0.000194449,1369119,1296607,1296607,0,0,1296607,72512,0,0,0,0,3,0,0,0,100,0,3.09598e-05,1.02065e-06,99.9969,0.000182628,243276,243364,88,0,243364,0,4.47771e+07,243276,0,1
28,100800,102652,102652,90924,0,0,70561,32091,0,0,0,0,0,0,100,0,3098646,1587375,1587375,1587375,1584303,2957,1584299,115,4,4,0,7.24467e-05,2.51988e-06,99.9928,0.000251988,1408619,1334056,1334056,0,0,1334056,74563,0,0,0,0,4,0,0,0,100,0,3.80281e-05,1.32271e-06,99.9962,0.000236683,250247,250358,111,0,250358,0,4.62539e+07,250247,0,1
29,104400,105078,105078,93070,0,0,72383,32695,0,0,0,0,0,0,100,0,3186832,1633053,1633053,1633053,1629860,3054,1629856,139,4,4,0,8.51166e-05,2.4494e-06,99.9915,0.00024494,1448701,1372401,1372401,0,0,1372401,76300,0,0,0,0,4,0,0,0,100,0,4.46869e-05,1.28595e-06,99.9955,0.000230132,257459,257594,135,0,257594,0,4.7723e+07,257459,0,1
30,108000,107324,107324,95127,0,0,74227,33097,0,0,0,0,0,0,100,0,3274707,1678818,1678818,1678818,1675528,3114,1675524,176,4,4,0,0.000104836,2.38263e-06,99.9895,0.000238263,1488565,1410712,1410712,0,0,1410712,77853,0,0,0,0,4,0,0,0,100,0,5.50541e-05,1.25123e-06,99.9945,0.000223946,264816,264988,172,0,264988,0,4.92865e+07,264816,0,1
31,111600,110232,110232,97783,0,0,76774,33458,0,0,0,0,0,0,100,0,3358857,1721792,1721792,1721792,1718431,3151,1718427,210,4,4,0,0.000121966,2.32316e-06,99.9878,0.000232316,1526833,1446920,1446920,0,0,1446920,79913,0,0,0,0,4,0,0,0,100,0,6.4045e-05,1.2199e-06,99.9936,0.000218338,271511,271717,206,0,271717,0,5.05874e+07,271511,0,1
32,115200,113277,113277,100540,0,0,79391,33886,0,0,0,0,0,0,100,0,3441155,1763626,1763626,1763626,1760138,3232,1760134,256,4,4,0,0.000145155,2.26805e-06,99.9855,0.000226805,1564252,1482186,1482186,0,0,1482186,82066,0,0,0,0,4,0,0,0,100,0,7.62111e-05,1.1908e-06,99.9924,0.000213117,277952,278204,252,0,278204,0,5.18094e+07,277952,0,1
33,118800,116697,116697,103676,1,0,82354,34342,1,0,0,0,8.5692e-06,0,99.9991,0,3530140,1808735,1808735,1808735,1805170,3267,1805166,298,4,4,0,0.000164756,2.21149e-06,99.9835,0.000221149,1604708,1520185,1520186,0,0,1520185,84522,0,0,0,0,4,0,0,0,100,0,8.67769e-05,1.16089e-06,99.9913,0.000207746,284984,285279,294,0,285278,18446744073709551615,5.31704e+07,284984,0,1
34,122400,120868,120868,106735,1,0,85120,35747,1,0,0,0,8.27349e-06,0,99.9992,0,3621108,1854140,1854140,1854140,1850487,3293,1850483,360,4,4,0,0.00019416,2.15733e-06,99.9806,0.000215733,1646100,1558444,1558445,0,0,1558444,87655,0,0,0,0,4,0,0,0,100,0,0.000102166,1.13204e-06,99.9898,0.000202531,292042,292399,356,0,292398,18446744073709551615,5.45423e+07,292042,0,1
35,126000,123740,123740,109368,2,0,87595,36142,3,0,0,0,2.42444e-05,0,99.9976,0,3707354,1898277,1898277,1898277,1894546,3303,1894542,428,4,4,0,0.000225468,2.10717e-06,99.9775,0.000210717,1685337,1595620,1595622,0,0,1595620,89715,0,0,0,0,4,0,0,0,100,0,0.000119138,1.10569e-06,99.9881,0.000197822,298924,299350,424,0,299348,18446744073709551614,5.58122e+07,298924,0,1
36,129600,126638,126638,111995,2,0,89957,36678,3,0,0,0,2.36896e-05,0,99.9976,0,3797569,1944492,1944492,1944492,1940526,3458,1940520,508,6,6,0,0.000261251,3.08564e-06,99.9739,0.000308564,1726439,1634606,1634608,0,0,1634606,91831,0,0,0,0,6,0,0,0,100,0,0.000137894,1.61911e-06,99.9862,0.000289697,305918,306422,502,0,306420,18446744073709551614,5.71657e+07,305918,0,1
37,133200,129792,129792,114895,2,0,92450,37339,3,0,0,0,2.31139e-05,0,99.9977,0,3912351,2003917,2003917,2003917,1999751,3545,1999745,621,6,6,0,0.000309893,2.99414e-06,99.969,0.000299414,1778642,1684562,1684564,0,0,1684562,94078,0,0,0,0,6,0,0,0,100,0,0.000163425,1.57139e-06,99.9837,0.0002812,315187,315804,615,0,315802,18446744073709551614,5.88149e+07,315187,0,1
38,136800,132404,132404,117270,2,0,94589,37812,3,0,0,0,2.26579e-05,0,99.9977,0,3997397,2047689,2047689,2047689,2043386,3592,2043380,711,6,6,0,0.000347221,2.93013e-06,99.9653,0.000293013,1817304,1721369,1721371,0,0,1721369,95933,0,0,0,0,6,0,0,0,100,0,0.000183008,1.53788e-06,99.9817,0.000275218,322015,322722,705,0,322720,18446744073709551614,6.01559e+07,322015,0,1
39,140400,136029,136029,120216,2,0,97261,38765,3,0,0,0,2.20541e-05,0,99.9978,0,4091821,2095580,2095580,2095580,2091081,3632,2091075,867,6,6,0,0.000413728,2.86317e-06,99.9586,0.000286317,1860212,1761633,1761635,0,0,1761633,98577,0,0,0,0,6,0,0,0,100,0,0.000217868,1.50254e-06,99.9782,0.000268864,329446,330309,861,0,330307,18446744073709551614,6.16733e+07,329446,0,1
40,144000,138732,138732,122383,3,0,99280,39448,4,0,0,0,2.88326e-05,0,99.9971,0,4174855,2138175,2138175,2138175,2133517,3660,2133511,998,6,6,0,0.000466753,2.80613e-06,99.9533,0.000280613,1897948,1797383,1797386,0,0,1797383,100562,0,0,0,0,6,0,0,0,100,0,0.000245932,1.47265e-06,99.9754,0.000263515,336131,337126,992,0,337123,18446744073709551613,6.31134e+07,336131,0,1
41,147600,141253,141253,124690,3,0,101468,39781,4,0,0,0,2.8318e-05,0,99.9972,0,4256107,2180057,2180057,2180057,2175210,3704,2175204,1143,6,6,0,0.000524298,2.75222e-06,99.9476,0.000275222,1934797,1832448,1832451,0,0,1832448,102346,0,0,0,0,6,0,0,0,100,0,0.000276135,1.44447e-06,99.9724,0.000258475,342759,343899,1137,0,343896,18446744073709551613,6.44488e+07,342759,0,1
